date,strdate,london,paris,amsterdam,frankfort,hamburg,berlin,url,issue
1/1/1860,January 1,9 9.375,5.1875 5.175,41.3725 41.625,41.75 41.875,36.5 36.75,73 73.25,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860
1/15/1860,January 15,8.5 9,5.215 5.1875,41.75 41.5,41.25 41.25,36.375 36.625,73.75 73.5,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860
2/1/1860,February 1,8.875 9,5.1875 5.175,41.5 41.25,41.625 41.75,36.375 36.625,73.375 73.625,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860
2/15/1860,February 15,8.125 9,5.1875 5.175,41.375 41.5,41.5 41.625,36.5 36.25,73.375 73.5,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860
3/1/1860,March 1,8.675 9,5.175 5.15,41.5 41.75,41.75 41.875,36.625 36.875,73.625 73.875,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860
3/15/1860,March 15,8.675 8.875,5.175 5.15625,41.625 41.75,41.625 41.75,36.625 36.75,73.25 73.375,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860
4/1/1860,April 1,8.675 8.875,5.1875 5.1625,41.5 41.625,41.5 41.625,36.375 37.75,73.25 73.375,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860
4/15/1860,April 15,8.675 8.875,5.1625 1.1725,41.375 41.5,41.625 41.75,36.75 36.875,73.25 73.375,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73,Jul 1860
5/1/1860,May 1,9.25 9.5,5.135 5.125,41.5 41.75,41.875 42,36.75 37,73.5 73.75,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
5/15/1860,May 15,9.375 9.625,5.1375 5.1325,41.625 41.875,41.875 42,37 37.5,73.75 73.875,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
6/1/1860,June 1,9.625 9.75,5.13125 5.125,41.75 41.875,41.875 42,36.75 37.125,73.75 73.875,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
6/15/1860,June 15,9.5 9.75,5.1375 5.125,41.625 41.75,41.875 42,36.75 37.125,73.625 73.875,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
7/1/1860,July 1,9.5 9.875,5.1375 5.13125,41.625 41.75,41.875 42,36.75 37,73.75 73.875,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
7/15/1860,July 15,9.5 9.875,5.1375 5.13125,41.5 41.75,41.75 41.875,36.75 37,73.75 73.875,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
8/1/1860,August 1,9.625 9.875,5.1375 5.13125,41.625 41.75,41.875 42,36.75 37,73.75 73.875,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
8/15/1860,August 15,9.625 10,5.1375 5.13125,41.74 41.875,41.875 42,36.875 37.125,73.75 73.875,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
9/1/1860,September 1,9.75 10,5.14375 5.13125,41.625 41.875,41.875 42,36.875 37,73.625 73.75,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
9/15/1860,September 15,9.75 9.875,5.14375 5.13125,41.625 41.75,41.75 42,36.625 36.875,73.625 73.875,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
10/1/1860,October 1,9.125 9.675,5.15625 5.1475,41.5 41.75,41.74 41.875,36.625 36.875,73.5 73.75,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
10/15/1860,October 15,8.25 9,5.175 5.16625,41.5 41.75,41.625 41.75,36.5 36.75,73.125 73.375,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
11/1/1860,November 1,8 8.625,5.2 5.175,41.25 41.5,41.375 41.5,36.125 36.125,72 73,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
11/15/1860,November 15,5 6.75,5.3 5.235,40.125 40.25,40.75 41.5,35.5 36.25,72.25 72.5,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79,Jan 1861
12/1/1860,December 1,1 5,5.475 5.4,39.5 40.25,40 40.25,34.75 35.25,69.5 70.25,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861
12/15/1860,December 15,1 4,5.6 5.5,39 39.5,39 39.5,34.25 34.75,72.5 73.5,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861
1/1/1861,January 1,2.5 5,5.40 5.45,38.75 39.5,39.5 39.875,34.5 35,68.875 69.5,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861
1/15/1861,January 15,5.75 6.5,5.30 5.3375,40 40.75,40.5 40.75,35.5 35.875,70.25 70.5,,
2/1/1861,February 1,5 6,5.375 5.35,40 40.5,40.25 40.5,35.75 36,70.5 70.375,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861
2/15/1861,February 15,2 5.5,5.425 5.35,39.75 40.5,40.375 40.625,35.5 35.75,70.75 70.875,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861
3/1/1861,March 1,3.5 6,5.40 5.35,39.5 40.25,40.375 40.75,35.75 35.5,70.75 71,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861
3/15/1861,March 15,6 6.75,5.37 5.30,40 40.75,40.625 40.875,36 36.5,70.75 71.25,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416,Apr 1861
12/1/1861,December 1,109 109.5,5.25 5.15,40.625 40.75,41 41.5,35.75 36,73.75 74,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862
12/15/1861,December 15,110.5 110.75,5.15 5.10,41.5 41.75,41.75 42,36.75 37,74 74.5,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862
1/1/1862,January 1,110.5 113,5.125 5.05,42 42.5,42.5 43,37.5 38,74.5 75,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862
1/15/1862,January 15,113.5 114,5.05 4.90,42.5 43.5,43.5 43.75,37.25 38,75.5 76.25,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862
2/1/1862,February 1,113 113.5,5.10 4.95,42.25 43.5,43.25 43.5,37 38.25,75.5 76,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862
2/15/1862,February 15,115 115.5,4.975 4.90,42.75 43.5,43.75 44,37.625 38.5,76.5 77,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862
3/1/1862,March 1,112 113,5.05 5.00,42.5 43,42.75 43,37 37.75,75.25 75.75,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862
3/15/1862,March 15,112.25 112.5,5.075 5.0375,42.5 43,42.25 43.75,36.75 37.75,74.75 75,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407,April 1862
3/22/1862,March 22,111 112.25,5.0875 5.0075,42 42.5,42.5 42.625,36.625 37.25,74 74.5,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
3/29/1862,March 29,111 112,5.10 5.05,42 42.5,42.25 42.5,36.625 37.25,74.5 75,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
4/5/1862,April 5,111.5 112.5,5.075 5.025,42.25 42.75,42.5 42.75,36.875 37.5,74.25 71.75,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
4/12/1862,April 12,111.75 112.5,5.10 5.035,42 42.5,42.5 42.75,36.75 37.25,74 74.5,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
4/19/1862,April 19,111.875 112.25,5.10 5.0375,41.75 42.25,42.25 42.75,36.625 37.25,74.25 74.75,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
4/26/1862,April 26,111.5 112.5,5.025 5.075,42.25 42.5,42.5 42.75,36.75 37.75,74.25 74.75,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
5/2/1862,May 2,112.5 113.5,4.975 5.025,42.25 42.75,42.625 47.625,37 37.5,75 75.5,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
5/10/1862,May 10,113 114,4.915 5.025,42.5 43,42.75 43.25,37.5 37.5,75 75.75,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
5/17/1862,May 17,113 114,4.9625 5.00,42.625 43,42.875 43.25,37.625 38,75.25 75.5,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
5/31/1862,May 31,114.5 115,4.925 5.00,42.875 43.5,43.25 43.5,37.5 38.25,75.75 76,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
6/7/1862,June 7,114 114.75,4.95 4.91,43 43.25,43.25 43.5,37.875 38.25,75.75 76,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
6/14/1862,June 14,114 115,4.75 4.82,43.75 44.5,43.75 44.5,39 39.5,76.75 77.5,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
6/26/1862,June 26,117.25 118,4.70 4.66,44.5 45,44.5 45,40 40.5,78 78.75,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33,July 1862
7/5/1862,July 5,120.5 121,4.70 4.625,55.25 45.5,45 45.25,45 45.25,79 79.5,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
7/12/1862,July 12,127 129,4.335 4.3125,48 49,48 49,42.5 43.5,84.5 85.5,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
7/19/1862,July 19,128.5 131,4.375 4.3225,48.5 49,48.5 49,43 44,86.5 87.5,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
7/27/1862,July 27,126 129,4.45 4.35,47.5 48.5,48 48.5,41.5 42.5,85.5 86.5,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
8/2/1862,August 2,125 127,4.52 4.55,47.75 48.25,47.75 48.25,41.75 42,82 83,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
8/9/1862,August 9,124 126,4.55 4.475,47 47.5,47.25 47.5,41 42,82 82.5,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
8/16/1862,August 16,126.5 127.5,4.45 4.40,47.5 47.75,47.5 48,42 42.5,83 83.5,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
8/23/1862,August 23,126.75 128,4.45 4.40,47.5 47.75,47.5 48,41.875 41.5,82.5 83.5,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
8/30/1862,August 30,126.75 127.75,4.45 4.40,47.5 47.75,47.5 48,42 42.5,83.5 84,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
9/6/1862,September 6,128.75 130,4.3625 4.3225,48.5 49,48.75 49.25,42.25 43,85 85.5 ,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
9/13/1862,September 13,126.5 131,4.3625 4.30,48.75 49.25,49 49.5,42.25 43.125,85.75 86.25,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
9/20/1862,September 20,128.25 129.5,4.42 4.35,48.25 48.75,48.25 48.75,42.25 42.75,85 85.25,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
9/27/1862,September 27,128.5 129.5,4.40 4.32,48.5 49,48.75 49,42.5 43,85.25 86,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
10/4/1862,October 4,134.5 135.5,4.20 4.15,50.25 51.75,50.5 51,44.25 45,88 89,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
10/11/1862,October 11,137.5 142.5,4.12 4.00,51.75 53,52.5 53.5,46 47,92 94,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
10/18/1862,October 18,148 152,4.9 3.9,53 52,52 53,46 47,91 93,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
10/25/1862,October 25,143 145.5,3.9 3.85,54.25 55,54.5 55,48 47.5,95.5 96.5,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
11/1/1862,November 1,143.5 145.75,3.95 3.865,54.5 55,54.75 55.5,47.5 48.5,97 97.75,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
11/8/1862,November 8,145.5 147,3.8725 3.825,55.25 56.75,55.5 56,48.25 48.5,97 97.75,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
11/15/1862,November 15,145.5 145.75,3.875 3.825,55.25 55.75,55.5 56,48 48.75,97 97.75,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
11/23/1862,November 23,143.5 144.75,3.975 3.9,54.5 55,54.5 55.25,47.75 48.25,96.5 96.75,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
11/30/1862,November 30,141 142,4 3.92,53.5 54,54 54.5,47 48,95 96,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
12/6/1862,December 6,144.5 147,3.9 3.82,54.75 55.75,55.25 56,48.25 48.75,96 97,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
12/13/1862,December 13,144.5 146,3.925 3.80,54.75 55.25,55 55.5,48.5 49,96.5 96,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
12/20/1862,December 20,144.5 146,3.90 3.85,54.25 54.5,54.75 55.5,48.5 49,96.25 97.25,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
12/27/1862,December 27,146.5 147.5,3.875 3.8,55.5 56.5,55.75 56.5,48.75 49.5,97 98,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73,Jan 1863
