bid,page,column,name,residence,value,amount,accepted,partial,
1,465,1,Samuel Rea,Boston,103,0.2,,,
2,465,1,Franklin Haven,Boston,102.775,500,,,
3,465,1,Franklin Haven,Boston,103.02,500,,,
4,465,1,Ira Steward,Boston,103,0.1,,,
5,465,2,Samuel A. Way,Boston,101.5,10,,,
6,465,2,Samuel A. Way,Boston,102.5,10,,,
7,465,2,Samuel A. Way,Boston,102.5,10,,,
8,465,2,Samuel A. Way,Boston,103,10,,,
9,466,1,Samuel A. Way,Boston,103.5,10,,,
10,466,1,J. Kendall,Boston,103.5,10,1,,
11,466,1,John Gardner,Boston,103.5,3,1,,
12,466,1,John Gardner,Boston,103.75,2,1,,
13,466,1,James W. Harris,Boston,102.5,1,,,
14,466,1,City Bank,Cambridge,103.5,10,1,,
15,466,1,Naumkeag Bank,Salem,103,100,,,
16,466,1,National Bank,Boston,102,70,,,
17,466,1,W. Ropes & Co,Boston,100,10,,,
18,466,1,W. Ropes & Co,Boston,101,10,,,
19,466,1,W. Ropes & Co,Boston,102,10,,,
20,466,1,W. Ropes & Co,Boston,102.5,10,,,
21,466,1,W. Ropes & Co,Boston,103,10,,,
22,466,1,Jay Cooke & Co,Washington,102.75,250,,,
23,466,1,Jay Cooke & Co,Washington,103,150,,,
24,466,1,Jay Cooke & Co,Washington,103.05,250,2,148.6,
25,466,1,Jay Cooke & Co,Washington,103.125,50,,,
26,466,1,Jay Cooke & Co,Washington,103.25,50,,,
27,466,1,Jay Cooke & Co,Washington,103.3,50,,,
28,466,1,Jay Cooke & Co,Washington,103.5,100,,,
29,466,1,Jay Cooke & Co,Washington,103.625,200,,,
30,466,1,Jay Cooke & Co,Washington,103.75,200,,,
31,466,1,Jay Cooke & Co,Washington,104,200,,,
32,466,1,E.W. Clark & Co.,Philadelphia,103.06,50,,,
33,466,1,E.W. Clark & Co.,Philadelphia,103.29,50,,,
34,466,1,E.W. Clark & Co.,Philadelphia,103.57,50,,,
35,466,1,E.W. Clark & Co.,Philadelphia,103.79,25,,,
36,466,1,Geo. W. Utermahl,Washington,100,6,,,
37,466,1,John E. Kendall,Washington,103,4,,,
38,466,1,M.A. Falkenburgh,Jersey City,103,0.5,,,
39,466,1,Henry A. Ketchum,New York,103.5,10,1,,
40,466,1,Bank of America,New York,102,500,,,
41,466,1,Bank of America,New York,102,10,,,
42,466,1,"Read, Drexel & Co.",New York,101,50,,,
43,466,1,"Read, Drexel & Co.",New York,102,75,,,
44,466,1,"Read, Drexel & Co.",New York,102.1,50,,,
45,466,1,"Read, Drexel & Co.",New York,103,50,,,
46,466,1,"Read, Drexel & Co.",New York,103.5,21,,,
47,466,1,"Read, Drexel & Co.",New York,102.25,754,,,
48,466,1,American Exchange Bank,New York,103.05,750,2,445.9,
49,466,1,Bank of Commerce,New York,103.1,650,,,
50,466,1,Bank of Commerce,New York,103,650,,,
51,466,1,Bank of Commerce,New York,102.75,600,,,
52,466,1,Bank of Commerce,New York,102.5,600,,,
53,466,1,Bank of Commerce,New York,102.25,600,,,
54,466,1,J.C. Lewis,Washington,101,0.1,,,
55,466,1,J.C. Lewis,Washington,102,0.2,,,
56,466,1,J.C. Lewis,Washington,103,0.1,,,
57,466,1,Wm. Barton,Brooklyn,102.5,5,,,
58,466,1,Wm. Barton,Brooklyn,103.1,5,1,,
59,466,1,Hamilton Fire Ins. Co,New York,102.1,25,,,
60,466,1,Christopher Baker,New York,103,5,,,
61,466,1,Geo. A. Black,New York,102,1,,,
62,466,1,Mechanics' Bank,New York,103.05,25,2,14.9,
63,466,1,Mechanics' Bank,New York,103.1,25,1,,
